epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,84.1356,0.59485,1.48024,0.85188,0.8071,0.66475,0.82021,0.72083,0.58453,1.77467,0.88354,0.0174931,0.000493103,0.000493103
43,86.1678,0.60342,1.42416,0.86427,0.814,0.68055,0.82325,0.71448,0.60602,1.7753,0.88659,0.0154966,0.00049657,0.00049657
44,87.6808,0.55476,1.45795,0.87563,0.85485,0.72228,0.8445,0.72557,0.60097,1.7673,0.88312,0.0134996,0.000499641,0.000499641
45,89.2585,0.60289,1.34499,0.88802,0.84928,0.73613,0.8622,0.74045,0.59909,1.74362,0.87995,0.0115023,0.000502316,0.000502316
46,90.8225,0.58644,1.39678,0.88619,0.79573,0.72661,0.8831,0.75646,0.60059,1.71282,0.88105,0.0095046,0.000504595,0.000504595
47,93.0532,0.57116,1.31788,0.89688,0.75064,0.75,0.88726,0.77223,0.60115,1.64676,0.88288,0.00750648,0.000506478,0.000506478
48,94.834,0.53534,1.41368,0.85206,0.79784,0.79725,0.90016,0.77963,0.60408,1.60542,0.88241,0.00550797,0.000507965,0.000507965
49,96.7778,0.56446,1.34508,0.88785,0.82032,0.82514,0.92,0.80043,0.59266,1.5634,0.87792,0.00350906,0.000509056,0.000509056
50,99.0606,0.61205,1.31155,0.8757,0.81784,0.89105,0.92,0.80224,0.5887,1.5109,0.87656,0.00150975,0.000509751,0.000509751
51,100.828,0.59989,1.35715,0.89915,0.80133,0.95,0.90849,0.78491,0.59236,1.4468,0.87502,0.000505,0.000505,0.000505
52,102.495,0.55676,1.2208,0.86554,0.80847,1,0.90172,0.78497,0.5845,1.38732,0.87069,0.0004951,0.0004951,0.0004951
53,103.947,0.60386,1.25617,0.8623,0.83689,1,0.90172,0.78468,0.57803,1.32819,0.8706,0.0004852,0.0004852,0.0004852
54,105.512,0.54923,1.13282,0.86271,0.88012,0.92846,0.92,0.79556,0.58845,1.28405,0.87686,0.0004753,0.0004753,0.0004753
55,107.141,0.54518,1.21364,0.86215,0.8291,0.95,0.91167,0.78333,0.60033,1.24774,0.88345,0.0004654,0.0004654,0.0004654
56,108.695,0.60512,1.19479,0.883,0.86161,1,0.94143,0.81051,0.59353,1.17311,0.88296,0.0004555,0.0004555,0.0004555
57,110.497,0.55054,1.08993,0.86276,0.84113,1,0.94143,0.81666,0.59308,1.1235,0.88143,0.0004456,0.0004456,0.0004456
58,112.627,0.52723,1.10358,0.8566,0.82544,0.95,0.93458,0.81604,0.597,1.0755,0.88236,0.0004357,0.0004357,0.0004357
